word,orig,Bolbol,FaBert,Hoosh
آلیس,19.96184559,19.961846590221015,12.386650085449219,5.173821449279785
نشسته,18.04363989,18.04364156910327,11.682476043701172,9.861538887023926
بود,2.120164946,2.1201654132474164,1.2557129859924316,1.3348678350448608
لب,12.88657464,12.886575280550417,11.549177169799805,8.704798698425293
آب,10.30942989,10.309427865709484,3.6078977584838867,5.1692633628845215
کنار,9.057622416,9.057623400576569,10.36246395111084,6.403077602386475
خواهرش,12.75883437,12.758829425728656,8.924437522888184,7.615354061126709
و,3.121542089,3.121543024115465,2.885931968688965,2.957394599914551
از,5.893220153,5.893222229051815,5.335483074188232,3.570843458175659
اینکه,7.211091134,7.211090138988367,5.0637311935424805,4.371525764465332
کاری,11.34046372,11.34046317742348,9.313285827636719,7.562637805938721
انجام,4.075032502,4.075030600128547,3.883188486099243,3.9453747272491455
نمی‌داد,2.139141295,2.139149249586598,2.702104091644287,6.75756311416626
دیگر,13.4761202,13.476123664003186,10.469254493713379,16.749141693115234
حوصله‌اش,3.457157512,3.457164072703614,8.712518692016602,15.640862464904785
داشت,14.19794272,14.19795642928668,7.2819976806640625,8.45785140991211
سر,2.385365746,2.3853649597476267,6.333703994750977,5.184372425079346
می‌رفت,0.110599923,0.11060713949804839,0.008933573961257935,7.5869903564453125
یکی,10.00601204,10.006009706706896,8.507028579711914,10.246565818786621
دو,7.528338428,7.528344505128134,5.901801586151123,7.809182643890381
بار,3.376186478,3.376187705781151,2.628848075866699,9.6936616897583
به,3.312945815,3.312949981033205,8.444204330444336,8.764667510986328
کتابی,16.80083781,16.800833461730498,11.530401229858398,9.757479667663574
که,1.357127942,1.357128602472107,3.577605962753296,8.914137840270996
خواهرش,14.02481535,14.024816489576844,10.84926700592041,10.003952026367188
می‌خواند,1.744665346,1.7446716721120639,4.018561363220215,8.477836608886719
دزدکی,8.462823175,8.462825471942418,14.971619606018066,15.15149211883545
نگاهی,5.929288429,5.929298418167473,4.331036567687988,4.78671407699585
انداخت,0.861202309,0.8612110566105503,1.1378228664398193,9.615920066833496
اما,9.801781896,9.801778898216682,5.837794303894043,6.328275680541992
هیچ,6.531538157,6.531538280939161,8.580262184143066,8.307198524475098
تصویری,10.69413725,10.694136135155716,8.040024757385254,9.985703468322754
یا,9.733417744,9.733424892846969,9.132223129272461,7.298830032348633
گفتگویی,10.91189841,10.911896797029424,7.4723639488220215,13.41051197052002
در,3.394438985,3.3944421500517485,3.7473185062408447,9.326478958129883
کتاب,9.393894511,9.393894962782838,5.633790493011475,8.107878684997559
نبود,6.655597888,6.655599242570082,2.4493982791900635,12.539607048034668
با,5.73365609,5.733655517969795,7.835580825805664,8.42245864868164
خود,10.84185755,10.841857703622148,9.424555778503418,8.512322425842285
فکر,3.114504697,3.114507489590787,6.065557956695557,11.838237762451172
کرد,1.125475411,1.1254828215508657,3.743441104888916,11.251623153686523
آخه,12.88863283,12.888629641363607,11.871512413024902,5.661642074584961
کتاب,12.79147553,12.791474932753935,11.780115127563477,6.485259532928467
بدون,10.61833863,10.618338106701161,9.940253257751465,10.587153434753418
عکس,8.961567907,8.961570753933561,4.084667682647705,7.44266939163208
و,4.119299014,4.119300322025533,2.4381842613220215,8.441718101501465
گفتگو,13.83862404,13.838625120738259,9.73491096496582,13.073440551757812
به,5.922366863,5.922367841333708,7.181548595428467,8.450005531311035
چه,4.133117563,4.133119354508635,2.229854106903076,8.650578498840332
دردی,1.242902418,1.2429127977170211,1.8590834140777588,12.601275444030762
می‌خوره,0.610591724,0.6105985029595783,0.9394863247871399,7.517409801483154
پس,7.464212286,7.522283600481609,11.6987943649292,20.2885799407959
فکری,17.56099335,17.50675581450305,11.035776138305664,10.939491271972656
به,0.814598238,5.192782867194482,7.931271076202393,9.63585376739502
ذهنش,5.699838785,19.95786222205246,11.677177429199219,6.062061309814453
رسید,0.67207079,12.833551705211839,9.726221084594727,11.957818031311035
البته,12.77045108,11.991287235805965,8.12795639038086,11.06667423248291
تا,6.781969849,8.057802939644722,7.595460891723633,7.026384353637695
جایی,4.555329204,13.510299989541137,8.78097152709961,10.049657821655273
که,0.150050921,6.087167663229173,7.0526204109191895,10.035801887512207
می‌توانست,1.337302093,4.949621603267725,10.757654190063477,6.699371337890625
فکر,5.802083686,13.46507403801417,9.407722473144531,9.119233131408691
کند,8.7452718,13.039113632702314,10.290596008300781,13.30605697631836
چون,6.659817111,8.258985395674706,8.693929672241211,9.726566314697266
گرمای,13.86331657,16.638797792731264,9.944219589233398,7.022854328155518
روز,9.282232387,10.131441446377066,7.86321496963501,7.488762855529785
حسابی,9.921302067,16.625808348200636,10.138795852661133,6.234734535217285
گیج,12.23111645,16.960968184037856,10.173849105834961,6.841251373291016
و,5.440362911,5.022780790383234,5.063276767730713,6.719299793243408
خواب آلوده‌اش,2.423048236,12.66108914965089,8.329988479614258,6.297158718109131
کرده,0.397251757,13.31197502282967,10.487613677978516,13.547616958618164
بود,0.032576796,9.415574643752393,7.955051422119141,10.267862319946289
ارزش,12.45785644,12.457854905183444,9.070152282714844,8.360376358032227
داره,5.970273154,5.970271974949785,7.583491325378418,7.090361595153809
